nick,title,hour,date_posted,num_replys,find_helpful,awarded,num_user_products,content_text,user_reviews_cursor
16293029,推荐,"['总时数', '30.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,很好,AoJ4h7+q1psDe4r6tgY=
工藤优作,推荐,"['总时数', '37.0', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 10  项产品,太好玩了，手残别玩！！！！！！！,AoJ4h7+q1psDe4r6tgY=
YIN,推荐,"['总时数', '10.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好,AoJ4h7+q1psDe4r6tgY=
划船不用桨,推荐,"['总时数', '7.3', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 36  项产品,爽，第一次玩魂类游戏。黑猴还是很能让我感受到动作游戏的乐趣的,AoJ4h7+q1psDe4r6tgY=
Furina de Fontaine,推荐,"['总时数', '19.4', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,味大，无需多盐,AoJ4h7+q1psDe4r6tgY=
120430178,推荐,"['总时数', '32.9', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,画质完美,AoJ4h7+q1psDe4r6tgY=
freedomxxin,推荐,"['总时数', '148.4', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 2  项产品,喜欢,AoJ4h7+q1psDe4r6tgY=
炼狱凤凰,推荐,"['总时数', '79.0', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,没有充足的时间玩游戏了。每天被boss暴打几把，看着视频攻略搜集物品，看看风景，也挺开心的。,AoJ4h7+q1psDe4r6tgY=
xu,推荐,"['总时数', '9.4', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好玩,AoJ4h7+q1psDe4r6tgY=
aurora_0224,推荐,"['总时数', '55.0', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,做的太牛逼了，通关久久不能平静,AoJ4h7+q1psDe4r6tgY=
2310468963,推荐,"['总时数', '75.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,这几把优化真垃圾,AoJ48cyM1psDd832tgY=
法爱西,推荐,"['总时数', '12.8', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 26  项产品,好 ,AoJ48cyM1psDd832tgY=
15511339468,推荐,"['总时数', '16.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 9  项产品,喜欢,AoJ48cyM1psDd832tgY=
Kauro,不推荐,"['总时数', '124.9', '小时']",,0,1 人觉得这篇评测有价值				0,0,帐户内拥有 174  项产品,特意等了很久才来评价，后面两章做的和狗屎一样放着就不管了是吗？单机买断游戏像网游一样疯狂刷掉落物掉率比抽卡出金还低不改了是吗？空气墙也不优化了？各种粪怪和狗屎判定只能修脚也不改了？存档点旁边放怪一套丝滑小连招把你捅死，或者走在路上跳出来十个怪阴你导致走到BOSS哪儿已经残血了也不优化了是吗？多周目体验也就这样了不准备改了？准备把半成品扔在这里不管了，去搞你们新作是吗？我是一个很在意官方态度的人，我认为一个游戏厂商，在备受期待的作品问世后，应该首先把他做好再去做另一个吧。游科你们何意味？给美术，音乐和IP磕一个吧。手指搭在键盘上，明明还有很多话想说，但是我打不下去了，可能是感到心累了。,AoJ48cyM1psDd832tgY=
付心大大,推荐,"['总时数', '4.2', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,玩了4个小时，还不错，虽然游戏买晚了，但是这个游戏还是非常不错的,AoJ48cyM1psDd832tgY=
列,推荐,"['总时数', '11.0', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,帮你找回活人感的游戏。我在第一章的大头手里死了不下五十次，刷复活路上的三只狼妖都刷到了20级。工作之后的麻木感都被这久违的不服气取代了，劳资再来一次。认真说的就是，精品，推荐，推荐，推荐！,AoJ48cyM1psDd832tgY=
刘龙升,推荐,"['总时数', '17.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,东方大道,AoJ48cyM1psDd832tgY=
雪色雪花雪幽魂,推荐,"['总时数', '44.0', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 25  项产品,后劲太大了,AoJ48cyM1psDd832tgY=
须菩提,推荐,"['总时数', '7.7', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 182  项产品,刚出就通关了，家庭共享好多时间没统计进来，制作水平非常高，希望能成为中国游戏崛起的一个里程碑吧。,AoJ48cyM1psDd832tgY=
YYYYYE,推荐,"['总时数', '51.2', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 16  项产品,人的的观点try人员认同逢人,AoJ48cyM1psDd832tgY=
GZHkai,推荐,"['总时数', '30.1', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 52  项产品,我还是那个齐天大圣,AoJwp7nq1ZsDeIXztgY=
❀小妖,推荐,"['总时数', '122.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 2  项产品,好玩,AoJwp7nq1ZsDeIXztgY=
2050587984,推荐,"['总时数', '6.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,超级好玩的，单动画都薄纱【国产之光】某吒了,AoJwp7nq1ZsDeIXztgY=
亦为亦何,推荐,"['总时数', '70.2', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 225  项产品,歌未竞，东方白,AoJwp7nq1ZsDeIXztgY=
也许跳到外太空我才能找到路,不推荐,"['总时数', '87.6', '小时']",,0,1 人觉得这篇评测有价值				1,1,帐户内拥有 105  项产品,游戏性中规中矩 过度神话,AoJwp7nq1ZsDeIXztgY=
lb.ts,推荐,"['总时数', '16.8', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,牛逼,AoJwp7nq1ZsDeIXztgY=
wdnmd吓老子一跳,不推荐,"['总时数', '77.3', '小时']",,0,1 人觉得这篇评测有价值				0,0,帐户内拥有 155  项产品,等了一年多第五章土地之后和第六章就这样了？那个二郎神法相还不改？ 这跟网文太监有什么区别！,AoJwp7nq1ZsDeIXztgY=
羽亦辰,不推荐,"['总时数', '52.1', '小时']",,0,有 2 人觉得这篇评测有价值				1,1,帐户内拥有 6  项产品,史上最差劲的游戏,AoJwp7nq1ZsDeIXztgY=
15655193033,推荐,"['总时数', '21.5', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,豪玩！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,AoJwp7nq1ZsDeIXztgY=
Mirage,推荐,"['总时数', '31.3', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 94  项产品,挺难的，但也是真好玩，很有沉浸感,AoJwp7nq1ZsDeIXztgY=
回手掏,推荐,"['总时数', '36.4', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,国产巅峰,AoJ4mdzL1ZsDdNjvtgY=
wetz1,不推荐,"['总时数', '12.8', '小时']",,0,有 2 人觉得这篇评测有价值				0,0,,体验感太差了。,AoJ4mdzL1ZsDdNjvtgY=
TvT,不推荐,"['总时数', '9.1', '小时']",,0,有 2 人觉得这篇评测有价值				0,0,帐户内拥有 84  项产品,战斗烂,AoJ4mdzL1ZsDdNjvtgY=
1837451342,推荐,"['总时数', '58.4', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 4  项产品,好 ,AoJ4mdzL1ZsDdNjvtgY=
18503955853,不推荐,"['总时数', '38.7', '小时']",,0,有 2 人觉得这篇评测有价值				0,0,帐户内拥有 18  项产品, 吗，‘。、；0  8=【uoip-yi0yu09-uyh890uy8yt9tyt9pity8y6,AoJ4mdzL1ZsDdNjvtgY=
VeiledGamer,推荐,"['总时数', '144.0', '小时']",,0,1 人觉得这篇评测有价值				0,0,帐户内拥有 262  项产品,播片和音乐好过游戏本身,AoJ4mdzL1ZsDdNjvtgY=
炸死你,不推荐,"['总时数', '50.1', '小时']",,0,1 人觉得这篇评测有价值				0,0,帐户内拥有 11  项产品,垃圾,AoJ4mdzL1ZsDdNjvtgY=
宏宏,推荐,"['总时数', '41.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 27  项产品,差点忘了测评了，好玩,AoJ4mdzL1ZsDdNjvtgY=
A贰拾柒,推荐,"['总时数', '13.9', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 79  项产品,好好好,AoJ4mdzL1ZsDdNjvtgY=
南飞695,推荐,"['总时数', '133.9', '小时']",,0,1 人觉得这篇评测有价值				0,0,帐户内拥有 66  项产品,好,AoJ4mdzL1ZsDdNjvtgY=
404219309,推荐,"['总时数', '10.8', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,,好玩,AoJ4h7O01JsDfJXZtgY=
LuckYC,推荐,"['总时数', '68.9', '小时']",,0,1 人觉得这篇评测有价值				0,0,帐户内拥有 36  项产品,前四章内容很丰富，剧情很沉浸，五六章明显赶工之笔。五章的BOSS都对应西游前半部分的大妖，可以看出游科原本是想走整个西游的，可惜结果舍弃了太多。26年初来看，猴2或DLC怕是遥遥无期了,AoJ4h7O01JsDfJXZtgY=
scgywhs,推荐,"['总时数', '59.6', '小时']",,0,尚未有人觉得这篇评测有价值				0,0,帐户内拥有 34  项产品,这是中国第一款3A单机游戏，做得还可以！,AoJ4h7O01JsDfJXZtgY=
